Days for shipment (scheduled),Category Name,Market,Order Item Discount,Order Item Profit Ratio,Order Region,Order Status,Product Price,Shipping Mode
2,Cardio Equipment,LATAM,0.0,0.340000004,Central America,PENDING_PAYMENT,99.98999786,Second Class
2,Cleats,LATAM,1.799999952,-1.600000024,Central America,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,LATAM,9.0,0.25,Central America,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,LATAM,9.899999619,0.289999992,Caribbean,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,LATAM,12.60000038,0.479999989,South America,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,LATAM,16.20000076,-0.159999996,South America,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,LATAM,27.0,-0.769999981,Caribbean,PENDING_PAYMENT,59.99000168,Second Class
2,Cleats,LATAM,27.0,0.310000002,South America,PENDING_PAYMENT,59.99000168,Second Class
2,Women's Apparel,LATAM,0.0,0.479999989,Central America,PENDING_PAYMENT,50.0,Second Class
2,Shop By Sport,LATAM,4.800000191,0.25999999,Central America,PENDING_PAYMENT,39.99000168,Second Class
2,Women's Apparel,LATAM,6.0,0.159999996,South America,PENDING_PAYMENT,50.0,Second Class
2,Women's Apparel,LATAM,7.5,0.479999989,Caribbean,PENDING_PAYMENT,50.0,Second Class
2,Women's Apparel,LATAM,10.5,0.310000002,Central America,PENDING_PAYMENT,50.0,Second Class
2,Women's Apparel,LATAM,18.0,0.100000001,Central America,PENDING_PAYMENT,50.0,Second Class
2,Women's Apparel,LATAM,18.0,0.349999994,Central America,PENDING_PAYMENT,50.0,Second Class
2,Women's Apparel,LATAM,19.5,0.079999998,Central America,PENDING_PAYMENT,50.0,Second Class
2,Women's Apparel,LATAM,25.5,0.129999995,Central America,PENDING_PAYMENT,50.0,Second Class
2,Shop By Sport,LATAM,20.38999939,0.330000013,South America,PENDING_PAYMENT,39.99000168,Second Class
4,Women's Apparel,LATAM,10.0,0.039999999,South America,PENDING,50.0,Standard Class
4,Shop By Sport,LATAM,10.0,0.289999992,South America,PENDING,39.99000168,Standard Class
4,Shop By Sport,LATAM,11.0,0.360000014,South America,PENDING,39.99000168,Standard Class
4,Women's Apparel,LATAM,13.75,0.219999999,South America,PENDING,50.0,Standard Class
4,Women's Apparel,LATAM,13.75,-0.100000001,South America,PENDING,50.0,Standard Class
4,Shop By Sport,LATAM,13.5,0.49000001,Caribbean,PENDING,30.0,Standard Class
4,Shop By Sport,LATAM,18.0,0.059999999,Caribbean,PENDING,39.99000168,Standard Class
4,Women's Apparel,LATAM,25.0,0.100000001,Caribbean,PENDING,50.0,Standard Class
4,Women's Apparel,LATAM,25.0,0.300000012,Central America,PENDING,50.0,Standard Class
4,Shop By Sport,LATAM,25.98999977,0.449999988,Central America,PENDING,39.99000168,Standard Class
4,Women's Apparel,LATAM,32.5,0.479999989,Central America,PENDING,50.0,Standard Class
4,Women's Apparel,LATAM,32.5,0.219999999,South America,PENDING,50.0,Standard Class
4,Shop By Sport,LATAM,29.98999977,0.25999999,Central America,PENDING,39.99000168,Standard Class
4,Women's Apparel,LATAM,37.5,0.039999999,South America,PENDING,50.0,Standard Class
4,Shop By Sport,LATAM,31.98999977,0.5,Caribbean,PENDING,39.99000168,Standard Class
4,Women's Apparel,LATAM,42.5,0.340000004,Central America,PENDING,50.0,Standard Class
4,Women's Apparel,LATAM,42.5,0.349999994,South America,PENDING,50.0,Standard Class
4,Women's Apparel,LATAM,50.0,-0.699999988,Caribbean,PENDING,50.0,Standard Class
4,Women's Apparel,LATAM,50.0,-0.159999996,Central America,PENDING,50.0,Standard Class
4,Shop By Sport,LATAM,49.99000168,0.460000008,Central America,PENDING,39.99000168,Standard Class
4,Women's Apparel,LATAM,62.5,-0.059999999,Central America,PENDING,50.0,Standard Class
4,Women's Apparel,LATAM,62.5,0.280000001,South America,PENDING,50.0,Standard Class
4,Women's Apparel,LATAM,62.5,0.49000001,South America,PENDING,50.0,Standard Class
4,Electronics,LATAM,2.400000095,0.129999995,Central America,PENDING,47.99000168,Standard Class
4,Electronics,LATAM,6.400000095,0.479999989,Central America,PENDING,31.98999977,Standard Class
4,Kids' Golf Clubs,LATAM,53.99000168,-0.200000003,Central America,PENDING,89.98999786,Standard Class
4,Hunting & Shooting,LATAM,25.48999977,0.280000001,Caribbean,PENDING,29.98999977,Standard Class
4,Baseball & Softball,LATAM,15.0,0.25999999,South America,PROCESSING,59.99000168,Standard Class
4,Cardio Equipment,LATAM,0.0,0.300000012,Central America,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,LATAM,5.0,-0.039999999,Central America,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,LATAM,15.0,0.289999992,South America,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,LATAM,20.0,0.079999998,Central America,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,LATAM,20.0,0.379999995,South America,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,LATAM,25.0,-1.649999976,Central America,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,LATAM,25.0,0.419999987,Central America,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,LATAM,50.0,-0.600000024,Central America,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,LATAM,50.0,-0.050000001,South America,PROCESSING,99.98999786,Standard Class
4,Boxing & MMA,LATAM,112.4899979,0.180000007,South America,PROCESSING,89.98999786,Standard Class
4,Cleats,LATAM,0.0,0.469999999,Central America,PROCESSING,59.99000168,Standard Class
4,Cleats,LATAM,3.0,0.280000001,Central America,PROCESSING,59.99000168,Standard Class
4,Cleats,LATAM,3.0,0.059999999,Central America,PROCESSING,59.99000168,Standard Class
4,Cleats,LATAM,6.0,0.109999999,South America,PROCESSING,59.99000168,Standard Class
4,Cleats,LATAM,9.0,0.090000004,Central America,PROCESSING,59.99000168,Standard Class
4,Cleats,LATAM,12.0,-0.829999983,Central America,PROCESSING,59.99000168,Standard Class
4,Cleats,LATAM,16.5,-0.550000012,Central America,PROCESSING,59.99000168,Standard Class
2,Cardio Equipment,Africa,13.0,0.460000008,Central Africa,ON_HOLD,99.98999786,Second Class
2,Men's Footwear,Africa,2.599999905,0.349999994,North Africa,ON_HOLD,129.9900055,Second Class
2,Men's Footwear,Africa,11.69999981,0.49000001,East Africa,ON_HOLD,129.9900055,Second Class
2,Men's Footwear,Africa,13.0,0.25999999,North Africa,ON_HOLD,129.9900055,Second Class
2,Cleats,Africa,10.80000019,0.5,North Africa,ON_HOLD,59.99000168,Second Class
2,Men's Footwear,Africa,26.0,0.469999999,West Africa,ON_HOLD,129.9900055,Second Class
2,Camping & Hiking,Africa,3.0,0.0,North Africa,ON_HOLD,299.980011,Second Class
2,Camping & Hiking,Africa,6.0,0.330000013,North Africa,ON_HOLD,299.980011,Second Class
2,Consumer Electronics,Europe,0.0,-0.200000003,Southern Europe,COMPLETE,252.8800049,Second Class
2,Cameras ,Europe,4.519999981,0.270000011,Western Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,2.529999971,0.100000001,Western Europe,COMPLETE,252.8800049,Second Class
2,Cameras ,Europe,9.039999962,0.479999989,Western Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,7.590000153,0.280000001,Western Europe,COMPLETE,252.8800049,Second Class
2,Cameras ,Europe,18.07999992,0.310000002,Southern Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,12.64000034,0.330000013,Western Europe,COMPLETE,252.8800049,Second Class
2,Computers,Europe,82.5,0.419999987,Northern Europe,COMPLETE,1500.0,Second Class
2,Cameras ,Europe,24.86000061,0.050000001,Western Europe,COMPLETE,452.0400085,Second Class
2,Cameras ,Europe,24.86000061,0.5,Western Europe,COMPLETE,452.0400085,Second Class
2,Computers,Europe,105.0,0.039999999,Northern Europe,COMPLETE,1500.0,Second Class
2,Cameras ,Europe,31.63999939,0.300000012,Southern Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,22.76000023,0.029999999,Northern Europe,COMPLETE,252.8800049,Second Class
2,Cameras ,Europe,40.68000031,-0.680000007,Southern Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,22.76000023,0.460000008,Southern Europe,COMPLETE,252.8800049,Second Class
2,Computers,Europe,135.0,0.059999999,Western Europe,COMPLETE,1500.0,Second Class
2,Cameras ,Europe,45.20000076,0.479999989,Southern Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,25.29000092,0.100000001,Western Europe,COMPLETE,252.8800049,Second Class
2,Cameras ,Europe,67.80999756,0.469999999,Northern Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,37.93000031,0.469999999,Western Europe,COMPLETE,252.8800049,Second Class
2,Cameras ,Europe,72.33000183,0.310000002,Western Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,42.99000168,0.289999992,Northern Europe,COMPLETE,252.8800049,Second Class
2,Consumer Electronics,Europe,42.99000168,0.349999994,Southern Europe,COMPLETE,252.8800049,Second Class
2,Consumer Electronics,Europe,42.99000168,0.189999998,Western Europe,COMPLETE,252.8800049,Second Class
2,Cameras ,Europe,81.37000275,0.479999989,Northern Europe,COMPLETE,452.0400085,Second Class
2,Cameras ,Europe,81.37000275,0.349999994,Southern Europe,COMPLETE,452.0400085,Second Class
2,Consumer Electronics,Europe,45.52000046,0.300000012,Western Europe,COMPLETE,252.8800049,Second Class
2,Computers,Europe,300.0,0.079999998,Northern Europe,COMPLETE,1500.0,Second Class
2,Cameras ,Europe,113.0100021,0.349999994,Northern Europe,COMPLETE,452.0400085,Second Class
2,Basketball,Europe,10.0,0.419999987,Western Europe,COMPLETE,999.9899902,Second Class
2,Soccer,Europe,1.600000024,0.109999999,Southern Europe,COMPLETE,79.98999786,Second Class
2,Baseball & Softball,Europe,7.800000191,0.310000002,Northern Europe,COMPLETE,59.99000168,Second Class
2,Electronics,Europe,1.799999952,0.289999992,Northern Europe,COMPLETE,44.99000168,Second Class
2,Cardio Equipment,Europe,4.0,0.270000011,Western Europe,COMPLETE,99.98999786,Second Class
2,Cardio Equipment,Europe,5.0,-0.140000001,Northern Europe,COMPLETE,99.98999786,Second Class
2,Electronics,Europe,3.150000095,0.239999995,Western Europe,COMPLETE,44.99000168,Second Class
2,Cardio Equipment,Europe,10.0,0.119999997,Western Europe,COMPLETE,99.98999786,Second Class
2,Cardio Equipment,Europe,12.0,0.189999998,Western Europe,COMPLETE,99.98999786,Second Class
4,Electronics,USCA,6.75,0.230000004,US Center ,SUSPECTED_FRAUD,44.99000168,Standard Class
4,Cardio Equipment,USCA,21.0,0.479999989,West of USA ,SUSPECTED_FRAUD,99.98999786,Standard Class
4,Cardio Equipment,USCA,27.0,0.289999992,West of USA ,SUSPECTED_FRAUD,99.98999786,Standard Class
4,Cardio Equipment,USCA,27.0,0.07,West of USA ,SUSPECTED_FRAUD,99.98999786,Standard Class
4,Cleats,USCA,9.0,0.059999999,West of USA ,SUSPECTED_FRAUD,59.99000168,Standard Class
4,Cleats,USCA,12.60000038,-1.700000048,West of USA ,SUSPECTED_FRAUD,59.99000168,Standard Class
4,Cleats,USCA,21.60000038,0.439999998,East of USA,SUSPECTED_FRAUD,59.99000168,Standard Class
4,Shop By Sport,USCA,1.200000048,0.059999999,US Center ,SUSPECTED_FRAUD,39.99000168,Standard Class
4,Girls' Apparel,USCA,1.5,0.150000006,East of USA,SUSPECTED_FRAUD,25.0,Standard Class
4,Women's Apparel,USCA,18.0,-0.189999998,Canada,SUSPECTED_FRAUD,50.0,Standard Class
4,Women's Apparel,USCA,18.0,0.25,US Center ,SUSPECTED_FRAUD,50.0,Standard Class
4,Women's Apparel,USCA,19.5,0.280000001,Canada,SUSPECTED_FRAUD,50.0,Standard Class
4,Shop By Sport,USCA,20.38999939,-0.769999981,Canada,SUSPECTED_FRAUD,39.99000168,Standard Class
4,Shop By Sport,USCA,20.38999939,0.090000004,East of USA,SUSPECTED_FRAUD,39.99000168,Standard Class
4,Accessories,USCA,0.75,0.49000001,US Center ,SUSPECTED_FRAUD,24.98999977,Standard Class
4,Trade-In,USCA,7.679999828,0.449999988,US Center ,SUSPECTED_FRAUD,15.98999977,Standard Class
4,Cleats,Africa,12.0,-0.059999999,East Africa,CANCELED,59.99000168,Standard Class
4,Cleats,Africa,35.99000168,0.360000014,North Africa,CANCELED,59.99000168,Standard Class
4,Women's Apparel,Africa,0.0,0.449999988,West Africa,CANCELED,50.0,Standard Class
4,Shop By Sport,Africa,3.200000048,-0.01,West Africa,CANCELED,39.99000168,Standard Class
4,Women's Apparel,Africa,11.0,0.449999988,North Africa,CANCELED,50.0,Standard Class
4,Accessories,Africa,19.98999977,0.039999999,West Africa,CANCELED,24.98999977,Standard Class
4,Cardio Equipment,Africa,36.0,-0.730000019,East Africa,PENDING,99.98999786,Standard Class
4,Cleats,Africa,0.0,0.270000011,North Africa,PENDING,59.99000168,Standard Class
4,Cleats,Africa,9.600000381,0.360000014,North Africa,PENDING,59.99000168,Standard Class
4,Cleats,Africa,12.0,0.330000013,West Africa,PENDING,59.99000168,Standard Class
4,Cleats,Africa,13.19999981,0.409999996,North Africa,PENDING,59.99000168,Standard Class
4,Cleats,Africa,31.19000053,0.340000004,North Africa,PENDING,59.99000168,Standard Class
4,Women's Apparel,Africa,0.0,0.479999989,West Africa,PENDING,50.0,Standard Class
4,Women's Apparel,Africa,2.0,-0.730000019,North Africa,PENDING,50.0,Standard Class
4,Shop By Sport,Africa,4.800000191,0.289999992,West Africa,PENDING,39.99000168,Standard Class
4,Shop By Sport,Africa,8.800000191,0.340000004,North Africa,PENDING,39.99000168,Standard Class
4,Girls' Apparel,Africa,8.399999619,0.280000001,Southern Africa,PENDING,30.0,Standard Class
4,Women's Apparel,Africa,30.0,-2.700000048,North Africa,PENDING,50.0,Standard Class
4,Women's Apparel,Africa,40.0,-1.549999952,North Africa,PENDING,50.0,Standard Class
4,Women's Apparel,Africa,50.0,0.090000004,West Africa,PENDING,50.0,Standard Class
4,Accessories,Africa,5.5,0.49000001,West Africa,PENDING,24.98999977,Standard Class
4,Cardio Equipment,Africa,4.0,0.460000008,East Africa,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,Africa,8.0,-0.670000017,Southern Africa,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,Africa,20.0,0.469999999,East Africa,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,Africa,36.0,0.460000008,East Africa,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,Africa,40.0,-0.209999993,East Africa,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,Africa,48.0,0.469999999,East Africa,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,Africa,48.0,-0.230000004,North Africa,PROCESSING,99.98999786,Standard Class
4,Cardio Equipment,Africa,59.99000168,0.270000011,Southern Africa,PROCESSING,99.98999786,Standard Class
4,Men's Footwear,Pacific Asia,5.199999809,0.330000013,West Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,5.199999809,0.330000013,West Asia,COMPLETE,129.9900055,Standard Class
4,Cleats,Pacific Asia,3.0,0.479999989,Oceania,COMPLETE,59.99000168,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.209999993,Oceania,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.25999999,Oceania,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.289999992,Oceania,COMPLETE,129.9900055,Standard Class
4,Women's Clothing,Pacific Asia,10.78999996,0.5,Oceania,COMPLETE,215.8200073,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.129999995,South Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.039999999,South Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.5,Southeast Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.310000002,Southeast Asia,COMPLETE,129.9900055,Standard Class
4,Cleats,Pacific Asia,3.0,0.25,West Asia,COMPLETE,59.99000168,Standard Class
4,Men's Footwear,Pacific Asia,6.5,-0.050000001,West Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.159999996,West Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,6.5,0.439999998,West Asia,COMPLETE,129.9900055,Standard Class
4,Crafts,Pacific Asia,25.37999916,0.100000001,Eastern Asia,COMPLETE,461.480011,Standard Class
4,Men's Footwear,Pacific Asia,7.150000095,0.349999994,Eastern Asia,COMPLETE,129.9900055,Standard Class
4,Cleats,Pacific Asia,3.299999952,0.349999994,Oceania,COMPLETE,59.99000168,Standard Class
4,Men's Footwear,Pacific Asia,7.150000095,0.439999998,Oceania,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,7.150000095,-1.5,Oceania,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,7.150000095,0.330000013,South Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,7.150000095,0.340000004,Southeast Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,7.150000095,0.079999998,West Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,7.150000095,0.100000001,West Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,7.150000095,0.300000012,West Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,0.5,Central Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,-0.239999995,Eastern Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,0.129999995,Eastern Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,-0.879999995,Eastern Asia,COMPLETE,129.9900055,Standard Class
4,Women's Clothing,Pacific Asia,15.10999966,0.360000014,Eastern Asia,COMPLETE,215.8200073,Standard Class
4,Cleats,Pacific Asia,4.199999809,0.479999989,Oceania,COMPLETE,59.99000168,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,0.25999999,Oceania,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,0.059999999,Oceania,COMPLETE,129.9900055,Standard Class
4,Women's Clothing,Pacific Asia,15.10999966,0.310000002,Oceania,COMPLETE,215.8200073,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,-1.549999952,South Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,0.25999999,South Asia,COMPLETE,129.9900055,Standard Class
4,Women's Clothing,Pacific Asia,15.10999966,-0.699999988,South Asia,COMPLETE,215.8200073,Standard Class
4,Crafts,Pacific Asia,32.29999924,0.090000004,Southeast Asia,COMPLETE,461.480011,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,-1.600000024,Southeast Asia,COMPLETE,129.9900055,Standard Class
4,Women's Clothing,Pacific Asia,15.10999966,0.379999995,Southeast Asia,COMPLETE,215.8200073,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,0.100000001,West Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,9.100000381,0.270000011,West Asia,COMPLETE,129.9900055,Standard Class
4,Men's Footwear,Pacific Asia,11.69999981,0.209999993,Central Asia,COMPLETE,129.9900055,Standard Class
4,Cleats,Pacific Asia,5.400000095,0.109999999,Eastern Asia,COMPLETE,59.99000168,Standard Class
4,Men's Clothing,Pacific Asia,18.97999954,0.49000001,Eastern Asia,COMPLETE,210.8500061,Standard Class
4,Women's Apparel,Africa,25.0,0.100000001,West Africa,COMPLETE,50.0,Standard Class
